timelocal,month,month_indicator,month_weekday,flow,rotation,effect_pump_10,vibr_bear_as_x,vibr_bear_as_y,vibr_bear_bs_x,vibr_bear_bs_y,vibr_motor_x,vibr_motor_y,temp_winding_max
2020-10-26T18:50:50Z,Oct,5,2020-10-25T23:00:00Z,13559.284128298612,263.7508682759603,488.66141354370114,1.1470418732060326,1.122823756269614,0.5827636838767264,0.55933545462158,0.20689716724190446,0.2355338338646624,78.3599853515625
2020-10-26T18:52:20Z,Oct,5,2020-10-25T23:00:00Z,13424.267922059462,260.99521889444986,474.5930574415419,1.1183664607776536,1.0398657890836398,0.56493568543858,0.5248388322518931,0.19763213274313343,0.22170247543553512,78.35730477905274
2020-10-26T18:53:50Z,Oct,5,2020-10-25T23:00:00Z,13265.151256521267,257.38336839938694,453.78377708943685,1.1394408396085103,1.0573779871543247,0.5788628052949906,0.5325184703906377,0.19148519597450891,0.21717894338501825,78.33998107910156
2020-10-26T18:55:20Z,Oct,5,2020-10-25T23:00:00Z,13063.254137749565,253.51217333374024,434.50118334825305,1.1288433299938838,1.0272077312986057,0.5755286892871062,0.5264142026325067,0.18437906398806306,0.20862814640767044,78.33998107910156
2020-10-27T12:55:45Z,Oct,5,2020-10-26T23:00:00Z,12811.283151519097,251.35903147243923,431.76960746188695,1.1116480953243044,0.9972721870395872,0.5642985242784023,0.5139588784939713,0.19390997089246909,0.22303403674595887,62.339988708496094
2020-10-27T12:57:15Z,Oct,5,2020-10-26T23:00:00Z,12828.788590060763,251.94862693413629,435.14179019097224,1.0651714506440693,0.9838271823300255,0.5434158609026009,0.5051486570881473,0.19066457126306163,0.22119123464259838,62.34088650682237
2020-10-27T12:58:45Z,Oct,5,2020-10-26T23:00:00Z,12885.385185373263,253.63118204277887,442.50849272460937,1.100271794046296,1.035480028409428,0.5615524638705783,0.52967254986763,0.1924318852312035,0.22990290316243966,62.77374981384278
2020-10-27T13:00:15Z,Oct,5,2020-10-26T23:00:00Z,12943.580604969618,255.5689785393609,453.4381057074653,1.1572300563812257,1.0823094995657603,0.5857642100228204,0.5490924259781838,0.20662047452860408,0.24254427038232484,63.199981689453125
2020-10-27T13:01:45Z,Oct,5,2020-10-26T23:00:00Z,12817.600943196614,252.97301321377225,440.7193857727051,1.064295928091473,1.016226739109887,0.5448561910616027,0.520646312899722,0.19523524191081523,0.232421369314856,63.22755015767415
2020-10-28T09:20:06Z,Oct,5,2020-10-27T23:00:00Z,13007.712975217013,251.32920041164823,429.77853865356445,1.0831711010257403,1.010665831583076,0.5487082105086909,0.5143477849953705,0.18377017657756806,0.20869809888435734,61.29998016357422
2020-10-28T09:21:36Z,Oct,5,2020-10-27T23:00:00Z,13118.9312945204,254.4182337331136,444.09862931722006,1.1214489171650674,1.0526371831205157,0.5714579175386164,0.5368001077261236,0.1900928647723463,0.21933267777164778,61.895934084150525
2020-10-28T09:23:06Z,Oct,5,2020-10-27T23:00:00Z,13162.895291276041,255.8203955593533,449.4343111694336,1.1353541890011893,1.0909690908167098,0.5766273221459653,0.5488897846996784,0.19169075284302234,0.22406768089168602,62.37998962402344
2020-10-28T09:24:36Z,Oct,5,2020-10-27T23:00:00Z,13079.456532866754,254.09934223734538,441.76755021972656,1.119335732448101,1.0792950354894002,0.5700109935263793,0.545512907160653,0.1890211971087588,0.22126572767198086,62.37998962402344
2020-10-28T09:26:06Z,Oct,5,2020-10-27T23:00:00Z,12933.584743554688,250.92945609198676,425.04774812689885,1.1129667932404412,1.0450037681539854,0.5691585717505879,0.5356314631574683,0.1866396388636695,0.21323603057331508,62.36767956449721
2020-10-28T14:59:37Z,Oct,5,2020-10-27T23:00:00Z,12978.341816612414,250.17032485487195,418.620812049018,1.060500233440929,0.9899982151057986,0.538311281630728,0.5036421250634723,0.18426981892519528,0.2068474181489812,62.95692682172987
2020-10-28T15:01:07Z,Oct,5,2020-10-27T23:00:00Z,13050.685994325087,251.72412499491375,427.78399282836915,1.1120947144124242,1.0143770140131314,0.5751105078630977,0.5272637491411633,0.18976213216020002,0.21621430425941945,63.21998596191406
2020-10-28T15:02:37Z,Oct,5,2020-10-27T23:00:00Z,13040.661085970052,252.14249478149415,427.9676240288629,1.0696058229777547,0.9827696536329057,0.5429774984035227,0.5025373092002339,0.19048203747736084,0.20943212579290071,63.259148456573485
2020-10-28T16:41:44Z,Oct,5,2020-10-27T23:00:00Z,12689.07995016276,250.5177534769694,431.3740609422472,1.020412009256416,0.9451617580533027,0.5210694669193692,0.48486821187138557,0.18151357273525662,0.2078305236991909,64.3599853515625
2020-10-28T16:43:14Z,Oct,5,2020-10-27T23:00:00Z,12916.082110101997,255.97622969529894,457.41509870673286,1.0414249995787939,0.9723908176461855,0.5323620672835244,0.4982127619147301,0.1900670401384433,0.22188586141102845,64.3599853515625
